# Source: handprint.com/HP/WCL/waterfs.html
# KEY TO THE PAINT RATINGS. Summarized as numbers: 
# Tr = Transparency: 0 (very opaque) to 4 (transparent) 
# St = Staining: 0 (nonstaining) to 4 (heavily staining) 
# VR = Value Range: the value of the masstone color subtracted from the value of white paper, in steps of a 100 step value scale
# Gr = Granulation: 0 (liquid texture) to 4 (granular)
# Bl = Blossom: 0 (no blossom) to 4 (strong blossom)
# Df = Diffusion: 0 (inert) to 4 (very active diffusion)
# HA = Hue Angle in degrees of the CIELAB a*b* plane
# HS = Hue Shift as the undertone hue angle minus the masstone hue angle, in degrees of the CIELAB a*b* plane - 
# Lf = Lightfastness: 1 (very fugitive) to 8 (very lightfast) for paint in tint,full strength (1998 test/2004 test)
# PIGMENT(C.I. NAME),PAINT(MARKETING NAME),MANUFACTURER,CODE,Tr,St,VR,Gr,Bl,Df,HA,HS,Lf
PV14,cobalt violet deep,Utrecht,176,4,0,40,3,2,1,319,+4,8/8
PV14,cobalt violet light,Holbein,110,2,0,42,3,3,1,313,+10,8/8
PV14,cobalt violet,DaVinci,236,1,0,35,4,1,0,329,+7,8/8
PV14+PB28,cobalt violet deep,DaVinci,237,1,0,34,3,1,1,321,+4,8/8
PV14+PB28,cobalt violet [discontinued],Winsor & Newton,088,3,0,30,1,1,1,327,+2,7/8
PV15,ultramarine violet,Winsor & Newton,221,4,2,56,2,2,1,303,+2,8/7
PV15,ultramarine violet,Daniel Smith,057,2,1,55,2,3,2,304,+4,8/7
PV15,ultramarine violet,Rembrandt,507,4,1,54,2,3,2,306,+3,8/6
PV15,ultramarine violet,MaimeriBlu,440,2,2,54,1,3,2,307,+11,8/6
PV15,ultramarine violet,Old Holland,199,4,1,48,2,3,2,304,+6,8/6
PV15,ultramarine violet,Rowney Artists,419,4,1,60,1,3,1,306,+3,8/6
PV15,ultramarine violet [BS],M. Graham,193,1,3,70,2,3,2,296,-9,8/7
PV15+PB29,ultramarine violet [BS],Blockx,234,4,1,64,1,3,1,293,-11,8/8
PV15,ultramarine red,Daniel Smith,052,3,1,47,1,3,2,330,-10,8/7
PV16,manganese violet,Daniel Smith,038,3,2,62,2,3,2,327,+1,8/8
PV16,permanent mauve,Winsor & Newton,491,2,1,68,4,1,2,332,+3,8/8
PV16,mineral violet,MaimeriBlu,460,0,3,64,1,3,1,329,+2,8/8
PV16,manganese violet,DaVinci,254,2,1,60,2,1,1,332,+7,8/8
PV16,manganese violet - blue,Old Holland,196,3,0,48,3,3,0,334,+4,8/5
PV23,carbazole violet,Daniel Smith,035,2,4,69,0,3,1,308,-2,7/7
PV23,winsor violet (dioxazine),Winsor & Newton,213,3,3,71,0,2,2,306,-1,7/7
PV23,dioxazine purple [discontinued],M. Graham,100,2,4,66,0,2,3,312,+2,6/7
PV23,dioxazine purple,Utrecht,008,4,2,67,0,3,1,310,+7,6/6
PV23,permanent violet bluish,MaimeriBlu,463,2,4,71,0,2,4,306,+2,5/6
PV23,permanent mauve,Rowney Artists,413,4,2,72,0,3,1,304,+4,5/6
PV23,mauve,Schmincke,476,3,3,70,0,3,1,306,0,3/6
PV23+PR122,permanent violet reddish,MaimeriBlu,465,2,2,64,0,3,4,339,-1,5/6
PV37,dioxazine purple,M. Graham,100,2,4,66,0,2,3,312,+2,6/7
PV39,blue violet,Sennelier,903,0,4,70,0,2,4,300,-3,5/5
PV49,cobalt violet,Daniel Smith,088,4,0,39,2,3,1,329,+7,8/8
PV49,cobalt violet light,Utrecht,177,3,0,37,4,1,0,329,+9,8/8
PR88,permanent violet,Daniel Smith,074,2,4,68,1,2,1,3,-16,6/7
PR88,thioindigo violet [discontinued],Winsor & Newton,231,4,4,64,0,3,1,357,-11,6/6
PR88,garnet lake,MaimeriBlu,181,3,4,62,0,3,4,356,-10,6/6
PB29+PV19,rose of ultramarine,Daniel Smith,017,2,3,67,0,3,1,333,+1,6/7
PB29+PV19,permanent violet red,DaVinci,172,4,2,66,0,3,2,307,+5,6/7
PB28+PV19,cobalt blue violet,Daniel Smith,017,2,3,67,0,3,1,333,+1,6/7
PB28+PV19,cobalt violet,MaimeriBlu,449,2,2,65,1,2,3,308,-2,6/7
PV15+PV23,permanent violet,Utrecht,172,4,2,66,0,3,2,307,+5,6/6
PB29+PV19,permanent violet blue,DaVinci,172,4,2,66,0,3,2,307,+5,6/6
PBk1+PBk6,peach black,Holbein,137,2,3,78,1,3,2,—,—,7/7
PBk6,lamp black,Daniel Smith,028,0,4,73,1,4,1,—,—,8/8
PBk6,blue black [discontinued],Winsor & Newton,034,1,4,72,0,2,0,—,—,8/8
PBk6+PB15 +PV19,neutral tint,Winsor & Newton,032,0,4,74,0,3,4,—,—,8/8
PBk6+PB29,payne's gray [hue],M. Graham,128,2,3,75,0,3,2,265,-5,8/8
PBk6+PBk7,lamp black,Winsor & Newton,337,2,4,73,0,2,2,—,—,8/8
PB15+PBk6 +PV19,payne's gray [hue],Winsor & Newton,465,1,4,70,0,2,1,275,-45,8/8
PBk7,carbon black,MaimeriBlu,537,1,4,73,1,3,4,—,—,8/8
PBk7,lamp black,Daniel Smith,003,3,2,74,0,3,4,—,—,8/8
PBk7,lamp black,Rowney Artists,035,3,2,73,0,3,4,—,—,8/8
PBk7,charcoal gray,Schmincke,786,3,2,67,0,3,4,—,—,8/8
PBk7+PB29,payne's gray [hue],Rowney Artists,065,3,2,74,0,3,4,270,—,8/8
PBk8,vine black,Old Holland,367,3,2,62,2,4,2,65,+10,8/8
PBk8+PBr7 +PBk7,charcoal grey [discontinued],Winsor & Newton,010,2,3,72,1,2,0,65,+10,8/8
PBk9,ivory black,M. Graham,110,3,4,72,1,1,1,65,+10,8/8
PBk9,ivory black,Winsor & Newton,026,3,4,64,1,1,1,70,+5,8/8
PBk9,ivory black,Daniel Smith,048,2,3,71,2,2,2,70,+5,8/8
PBk9,ivory black,Rowney Artists,034,2,3,70,2,2,2,60,+5,8/8
PBk9,ivory black,MaimeriBlu,535,3,3,69,1,2,4,—,—,8/8
PBk10,graphite gray,Daniel Smith,010,0,4,55,1,2,0,—,—,8/8
PBk11,lunar black,Daniel Smith,021,2,3,72,3,4,2,—,—,8/8
PBk11,mars black,Winsor & Newton,386,1,4,75,1,2,2,—,—,8/8
PBk19+PW4 +PBk6,davy's gray [hue],Winsor & Newton,019,1,3,39,0,3,1,110,-10,5/5
PBk31 +PBk6,shadow green,Holbein,279,3,3,68,0,4,1,150,-3,7/8
PW4,chinese white,Winsor & Newton,011,1,2,1,0,2,1,85,+5,8/8
PW4,chinese white,Daniel Smith,011,1,2,1,0,2,1,85,+5,8/8
PW4,chinese white,MaimeriBlu,216,1,2,1,0,2,1,85,0,8/8
PW4,permanent chinese white,Schmincke,102,1,2,1,0,2,1,90,0,8/8
PW4,chinese white,Rembrandt,011,1,2,1,0,2,1,90,0,8/8
PW4+PW6,chinese white,Rowney Artists,001,1,2,1,0,2,1,85,+5,8/8
PW6,titanium white (opaque white),Winsor & Newton,206,2,2,0,0,2,2,90,0,8/8
PW6,titanium white,Rowney Artists,009,2,2,0,0,2,2,90,-5,8/8
PW6,titanium-opaque white,Schmincke,101,1,2,0,0,2,1,90,0,8/8
PW6,chinese white [hue],Holbein,715,1,2,0,0,2,1,90,0,8/8
PW6,titanium white (opaque),Holbein,203,2,2,0,0,2,2,90,0,8/8
PW6,buff titanium white,Daniel Smith,015,2,0,15,0,3,2,75,+8,7/6
